"product_name","customer_segment","no_of_order"
"Pet Treats","Regular","68"
"Vitamins","Regular","62"
"Toilet Cleaner","Premium","62"
"Pet Treats","Premium","60"
"Pet Treats","Inactive","53"
"Dish Soap","Premium","53"
"Toilet Cleaner","Regular","52"
"Baby Wipes","Regular","52"
"Cough Syrup","New","52"
"Pet Treats","New","52"
"Cough Syrup","Premium","52"
"Dish Soap","Regular","49"
"Lotion","Premium","48"
"Lotion","New","48"
"Toilet Cleaner","Inactive","48"
"Lotion","Inactive","48"
"Cat Food","Regular","46"
"Baby Wipes","New","45"
"Lotion","Regular","44"
"Cough Syrup","Inactive","43"
"Cough Syrup","Regular","43"
"Dish Soap","New","43"
"Toilet Cleaner","New","43"
"Vitamins","New","43"
"Vitamins","Premium","41"
"Baby Wipes","Inactive","41"
"Cat Food","Premium","41"
"Baby Food","Regular","40"
"Dish Soap","Inactive","39"
"Baby Wipes","Premium","38"
"Cat Food","New","37"
"Frozen Biryani","Inactive","37"
"Vitamins","Inactive","37"
"Eggs","Regular","36"
"Biscuits","Regular","36"
"Frozen Biryani","New","36"
"Bread","Premium","36"
"Bread","Regular","36"
"Pulses","Premium","36"
"Pulses","Regular","36"
"Cola","Regular","35"
"Onions","Regular","35"
"Onions","New","35"
"Eggs","Premium","35"
"Orange Juice","Premium","35"
"Pulses","Inactive","34"
"Detergent","Premium","34"
"Wheat Flour","New","33"
"Bread","Inactive","32"
"Potatoes","New","32"
"Pain Reliever","Regular","32"
"Cola","Inactive","31"
"Detergent","Regular","31"
"Dog Food","New","31"
"Chips","Inactive","31"
"Pulses","New","31"
"Biscuits","Inactive","31"
"Orange Juice","Regular","31"
"Eggs","New","31"
"Bread","New","31"
"Dog Food","Regular","30"
"Dog Food","Premium","30"
"Orange Juice","New","30"
"Potatoes","Premium","29"
"Carrots","Regular","29"
"Detergent","Inactive","29"
"Pain Reliever","Premium","29"
"Cat Food","Inactive","28"
"Biscuits","New","28"
"Sugar","Regular","28"
"Potatoes","Regular","28"
"Popcorn","Premium","28"
"Frozen Pizza","New","28"
"Wheat Flour","Inactive","28"
"Cheese","Regular","28"
"Biscuits","Premium","28"
"Baby Food","Inactive","27"
"Toothpaste","Regular","27"
"Pain Reliever","Inactive","26"
"Baby Food","New","26"
"Detergent","New","26"
"Wheat Flour","Premium","25"
"Frozen Biryani","Premium","25"
"Soap","Regular","25"
"Eggs","Inactive","25"
"Frozen Pizza","Premium","25"
"Sugar","Inactive","25"
"Dog Food","Inactive","25"
"Cola","Premium","25"
"Toothpaste","Inactive","24"
"Soap","Premium","24"
"Wheat Flour","Regular","24"
"Curd","New","24"
"Toothpaste","New","24"
"Carrots","Premium","24"
"Potatoes","Inactive","24"
"Carrots","Inactive","24"
"Popcorn","Inactive","24"
"Shampoo","Inactive","24"
"Carrots","New","23"
"Onions","Inactive","23"
"Chips","Premium","23"
"Butter","Premium","23"
"Soap","Inactive","23"
"Baby Food","Premium","22"
"Cola","New","22"
"Pain Reliever","New","21"
"Popcorn","Regular","21"
"Orange Juice","Inactive","21"
"Mango Drink","Premium","21"
"Iced Tea","Inactive","21"
"Chocolates","Premium","20"
"Cheese","Inactive","20"
"Frozen Vegetables","New","20"
"Sugar","Premium","20"
"Shampoo","Premium","20"
"Toothpaste","Premium","20"
"Nuts","Regular","19"
"Mango Drink","Inactive","19"
"Popcorn","New","19"
"Cheese","New","19"
"Cheese","Premium","19"
"Shampoo","Regular","19"
"Onions","Premium","19"
"Butter","Regular","19"
"Soap","New","19"
"Chips","New","19"
"Frozen Vegetables","Inactive","19"
"Frozen Pizza","Inactive","18"
"Nuts","New","18"
"Frozen Biryani","Regular","18"
"Butter","New","18"
"Nuts","Inactive","17"
"Curd","Premium","17"
"Chocolates","New","17"
"Shampoo","New","17"
"Salt","Regular","17"
"Mango Drink","New","17"
"Mangoes","Regular","17"
"Frozen Pizza","Regular","17"
"Curd","Regular","16"
"Curd","Inactive","16"
"Sugar","New","16"
"Rice","Inactive","16"
"Nuts","Premium","16"
"Salt","New","16"
"Tomatoes","Premium","16"
"Frozen Vegetables","Regular","15"
"Bananas","New","15"
"Cereal","New","14"
"Chocolates","Regular","14"
"Iced Tea","Premium","14"
"Rice","Regular","14"
"Salt","Premium","14"
"Ice Cream","Inactive","14"
"Chips","Regular","14"
"Ice Cream","New","13"
"Tomatoes","New","13"
"Cookies","Regular","13"
"Frozen Vegetables","Premium","13"
"Chocolates","Inactive","13"
"Rice","Premium","13"
"Butter","Inactive","13"
"Instant Noodles","Premium","13"
"Salt","Inactive","13"
"Diapers","Regular","13"
"Iced Tea","Regular","12"
"Tomatoes","Inactive","12"
"Cereal","Inactive","12"
"Cookies","New","12"
"Cookies","Inactive","12"
"Ice Cream","Premium","12"
"Mangoes","New","12"
"Bananas","Premium","11"
"Diapers","Premium","11"
"Tomatoes","Regular","11"
"Ice Cream","Regular","11"
"Mango Drink","Regular","11"
"Mangoes","Premium","11"
"Cookies","Premium","10"
"Cereal","Premium","10"
"Rice","New","10"
"Diapers","Inactive","10"
"Bananas","Inactive","10"
"Instant Noodles","Regular","9"
"Mangoes","Inactive","9"
"Milk","Regular","9"
"Diapers","New","9"
"Iced Tea","New","9"
"Bananas","Regular","9"
"Cereal","Regular","8"
"Milk","Premium","7"
